Album,Song,Lyrics
Mind of Mine,MiNd Of MiNdd (Intro),"Now that I'm on the edge And I can't find my way It's inside of my mind of mine Open up and see what's inside of my mind Open up and see what's inside of my, my mind"
Mind of Mine,PILLOWTALK,"Climb on board We'll go slow and high tempo Light and dark Hold me hard and mellow I'm seeing the pain, seeing the pleasure 
Nobody but you, 'body but me
'Body but us, bodies together (I)
I love to hold you close tonight and always
I love to wake up next to you
I love to hold  you close tonight and always
I love to wake up next to you  So we'll piss off the neighbours
In the place that feels the tears
The place you lose your fears
Yeah, reckless behaviour
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fuckin' and fightin' on
It's our paradise and it's our war zone
It's our paradise and it's our war zone Pillow talk
My enemy, my ally
Prisoners
Then we're free, it's a thin line I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together (I)
I love to hold you close, tonight and always
I love to wake up next to you So we'll piss off the neighbours
In the place that feels the tears
The place you lose your fears
Yeah, reckless behaviour
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fuckin' and fightin' on
It's our paradise and it's our war zone
It's our paradise and it's our war zone Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone So we'll piss off the neighbours
In the place that feels the tears
The place you lose your fears
Yeah, reckless behaviour
A place that is so pure, so dirty and raw (And raw)
In the bed all day, bed all day, bed all day (No)
Fuckin' and fightin' on
It's our paradise (Yeah) and it's our war zone
It's our paradise and it's our war zone"
Mind of Mine,​iT’s YoU,"She got, she got, she got
Her own reasons for talking to me
She don't, she don't, she don't
Give a fuck about what I need And I can't tell you why because my brain can't equate it
Tell me your lies because I just can't face it It's you, it's you, it's you
It's you, it's you, it's you I won't, I won't, I won't
Cover the scars, I'll let 'em bleed
So my silence, so my silence won't
Be mistaken for peace Am I wrong for wantin' us to make it?
Tell me your lies because I just can't face it It's you, it's you, it's you
It's you, it's you, it's you Could it be that it's a lesson that I never had to learn?
I looked at it like a blessing and now it's just a curse
I don't know why, I don't know why It's you, it's you
It's you, it's you, it's you"
Mind of Mine,BeFoUr,"I've done this before
Not like this I don't drink to get drunk
I feel all the right funk
If there's somethin' I want
I'll take all the right wrongs now
I'm gonna stay in my zone
I'm tired of pickin' that bone
And I can't be bothered
To fight it no more, no Numb on a roof, set it on fire
Just to give me proof, I'm livin' on a wire
Numb on a roof, set it on fire
Just to give me proof, I'm livin' on a wire So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say now
So say what you wanna say, what you want
Shame is you won't say that to my face I've done this before
Not like this, not like this Time for me to move up
So many hours have gone
Heart beats the pump of my blood
No strings for you to pull on
You've got your tongue in your cheek
So pardon if I don't speak
Can't tune my chords
Into your song, no Numb on a roof, set it on fire
Just to give me proof, I'm livin' on a wire So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say now (So say what you wanna say)
So say what you wanna say, what you want
Shame is you won't say that to my face I've done this before
Not like this, not like this Flashing lights So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say now
So say what you wanna say, what you want (Yeah)
Shame is you won't say that to my face
So say what you wanna say, what you wanna (So say what you wanna say)
So say what you wanna say, what you gotta say now (Now)
So say what you wanna say, what you want (No, no)
Shame is you won't say that to my face I've done this before (Never done it like this, baby)
Not like this (Not like this), not like this (Not like this, baby)
I've done this before (Never done it like this, baby)
Not like this (Not like this), not like this (Not like this, this, no)"
Mind of Mine,sHe,"She puts her spirit in a nightcap
She always knows where the crowd's at
She puts her mouth 'round the cigarette
I put it out 'cause she likes that
She always dance when it's rainin'
Hey, when's it startin', baby?
She looks at me like she's waitin'
Makin' time go slow when they show her the table Bright lights, but she's fadin'
Feels right, she's crazy
Bright lights, but she's fadin'
Feels right, she's crazy She wants somebody to love, to hold her
She wants somebody to love in the right way
She wants somebody to love, to kiss her
She wants somebody to love in the right way She's cryin' out that she loves me
Holdin' my hands so I won't leave
'Cause baby don't wanna be lonely
She says, ""I just want you to hold me"" Bright lights, but she's fadin'
Feels right, she's crazy
Bright lights, but she's fadin'
Feels right, she's crazy She wants somebody to love, to hold her
She wants somebody to love in the right way
She wants somebody to love, to kiss her
She wants somebody to love in the right way In the right way
In the right way In the right way, in the, in the right way
In the right way, in the right way (Yeah)
In the right way, in the, in the right way
In the right way, in the right way
In the right way, in the, in the right way
In the right way, in the right way (Right way)
In the right way, in the, in the right way
In the right way She wants somebody to love, to hold her
She wants somebody to love in the right way (In the right way)
She wants somebody to love, to hold her
She wants somebody to love in the right way
She wants somebody to love, to kiss her
She wants somebody to love in the right way"
Mind of Mine,​dRuNk,"We're so late nights, red eyes
Amnesia, on ice
Late nights, red eyes
Amnesia, I need ya Right now, I can't see straight
Intoxicated, it's true, when I'm with you
I'm buzzin' and I feel laced
I'm coming from a different phase when I'm with you Another way now, like we're supposed to do (Ooh)
Take you to the back now, I'd take a shot for you (Ooh)
Wasted every night, gone for every song
Faded every night, dancin' all night long Drunk all summer (Yeah, yeah)
Drunk all summer (Yeah, yeah)
We've been drunk all summer (Yeah, yeah, yeah)
Drinkin' and flowin' and rollin', we're falling down We're so late nights, red eyes
Amnesia, I need ya Right now, I'm emotional
I lose control when I'm with you
I hope I haven't said too much
Guess I always push my luck when I'm with you Another way now, like we're supposed to do (Ooh)
Take you to the back now, I'd take a shot for you (Ooh)
Wasted every night, gone for every song
Faded every night, dancin' all night long (Fakin' all night long) Drunk all summer (Yeah, yeah)
Drunk all summer (Yeah, yeah; No, love)
We've been drunk all summer (Yeah, yeah, yeah; Oh, woah)
Drinkin' and flowin' and rollin', we're falling down (Don't go) We're so late nights, red eyes (Red eyes)
Amnesia, on ice
Late nights (Baby), red eyes
Amnesia, I need ya (I need you, baby) Drunk, drunk, drunk, drunk
Drunk, drunk, drunk, drunk (You put your drinks up; Don't go)
Drunk, drunk, drunk, drunk
Drunk, drunk, drunk, drunk (Ah)
Drunk all summer
Drunk all summer
It's goin' around, yeah"
Mind of Mine,INTERMISSION: fLoWer,"Until the flower of this love has blossomed
This heart won't be at peace
Give me your heart
Give me your heart
Give me your heart"
Mind of Mine,​rEaR vIeW,"Can your heart be mine
In search?
'Cause I have no time
To help you find all the words
Melodies and memories
Stories that sound absurd
I will tell no lies As long as you look
Me in the eyes
I'll go wherever you are
I'll follow behind (Oh) Heard about all the things you've done
And all the wars that you've been in
Heard about all the love you lost
It was over before it began (Oh)
Heard about all the miles you've gone
Just to start again
Heard about all that you've been through
And it sounds like you need a friend, a friend Please don't wait
I'm not coming home tonight
I wanna love you
But I can't (Oh) As long as you look (Ah)
Me in the eyes (Ah)
I'll go wherever you are (Ah)
I'll follow behind (Behind, oh) Heard about all the things you've done
And all the wars that you've been in (Ah)
Heard about all the love you lost
It was over before it began (Oh)
Heard about all the miles you've gone
Just to start again (Ah)
Heard about all that you've been through
And it sounds like you need a friend, a friend I never doubted myself
But I doubted you
I'm tired of looking at myself
In my rear view (Oh) Heard about all the things you've done
And all the wars that you've been in (Ah)
Heard about all the love you lost
It was over before it began (Oh)
Heard about all the miles you've gone
Just to start again (Ah)
Heard about all that you've been through
And it sounds like you need a friend, a friend"
Mind of Mine,​wRoNg,"Oh, we're not on the same place
Show me in the same light
Feels right when we take flight
Clothes off 'cause she's so soft
This ain't a fair fight
I wanna shed light on the subject
I'll get her wetter than ever
Four letters are never the question
She likes when I'm messy
And I like when she's undressing You're looking in the wrong place for my love
Don't think because you're with me, this is real
You're looking in the wrong place for my love
Don't stop what you're doing 'cause I like how you're doing it Here with you 'cause you got the right vibe
Seems like you probably got a dope mind
But it's gotta be the right time
We're only good for the night time
I see through your demeanor, baby, I'm a pleaser
I go out my way to treat you, but I can't be a teacher
'Cause I'm a problem with problems, I know who I am and I'm not no good
You can have me tonight or never, I thought you understood
Baby, some people are meant to be loved and others just make it
So take what I'm willing to give and love it or hate it, oh You're looking in the wrong place for my love
Don't think because you're with me, this is real
You're looking in the wrong place for my love
Don't stop what you're doing 'cause I like how you're doing it, no Don't stop what you're doin', what you're doin'
Don't stop what you're doin', don't stop, uh I don't, I don't really know (What you're doin', uh)
I don't, I don't really care (Don't stop, uh)
Maybe keep it on the low (Don't stop what you're doin', uh)
Stories that I don't wanna share (I don't, uh, don't stop) You're looking in the wrong place for my love
Don't think because you're with me, this is real
You're looking in the wrong place for my love (My love)
Don't stop what you're doing 'cause I like how you're doing it, no
You're looking in the wrong place for my love
Don't think because you're with me, this is real
You're looking in the wrong place for my love (For my love)
Don't stop what you're doing 'cause I like how you're doing it"
Mind of Mine,fOoL fOr YoU ,"This love is tainted
I need you and I hate it
You're caught between a dream and a movie scene
In a way, you know what I mean When the dark turns to mist, I just can't resist it 'Cause I'm a fool for you
And the things you do
I'm a fool for you
And the things, the things you do
The things you do
The things you do When you're lookin' like this
I just can't resist it
I know, sometimes, I hide it, but I can't this time
'Cause it's gonna defeat me
But you won't believe me, believe me 'Cause I'm a fool for you
And the things you do
I'm a fool for you
And the things, the things you do I know, I know
Given the chance, I'd do it again, ah
'Cause I can't help myself
'Cause I can't stop myself
I just love bein' a fool for you 'Cause I'm a fool for you
And the things you do
I'm a fool for you
And the things, the things you do This love is tainted"
